metric,method,count,mean,std,min,25%,50%,75%,max,sum
is_kg_and_correct,formatog_d3_p1,333.0,0.1921921921921922,0.39461625289296975,0.0,0.0,0.0,0.0,1.0,64.0
is_kg_and_correct,formatog_d3_p2,333.0,0.22522522522522523,0.4183592021366015,0.0,0.0,0.0,0.0,1.0,75.0
is_kg_and_correct,formatog_d3_p3,333.0,0.2042042042042042,0.40372554987370524,0.0,0.0,0.0,0.0,1.0,68.0
is_kg_and_correct,formatog_d3_p4,333.0,0.23123123123123124,0.42225440282893356,0.0,0.0,0.0,0.0,1.0,77.0
is_kg_and_correct,formatog_d4_p1,333.0,0.1921921921921922,0.3946162528929697,0.0,0.0,0.0,0.0,1.0,64.0
is_kg_and_correct,formatog_d4_p2,333.0,0.2132132132132132,0.41019339349366535,0.0,0.0,0.0,0.0,1.0,71.0
is_kg_and_correct,formatog_d4_p3,333.0,0.18018018018018017,0.3849158458691617,0.0,0.0,0.0,0.0,1.0,60.0
is_kg_and_correct,formatog_d4_p4,333.0,0.21921921921921922,0.41434007988388444,0.0,0.0,0.0,0.0,1.0,73.0
kg_calls,formatog_d1_p1,333.0,1.882882882882883,0.32204370181827896,1.0,2.0,2.0,2.0,2.0,627.0
kg_calls,formatog_d1_p2,333.0,3.063063063063063,0.884395640890167,1.0,3.0,3.0,4.0,4.0,1020.0
kg_calls,formatog_d1_p3,333.0,3.834834834834835,1.289339884241596,1.0,4.0,4.0,5.0,6.0,1277.0
kg_calls,formatog_d1_p4,333.0,4.051051051051051,1.4951045941290997,1.0,3.0,4.0,5.0,8.0,1349.0
kg_calls,formatog_d2_p1,333.0,1.8918918918918919,0.31098419413263695,1.0,2.0,2.0,2.0,2.0,630.0
kg_calls,formatog_d2_p2,333.0,3.123123123123123,0.8501451894992824,1.0,3.0,3.0,4.0,4.0,1040.0
kg_calls,formatog_d2_p3,333.0,3.972972972972973,1.2403321999104955,1.0,4.0,4.0,5.0,6.0,1323.0
kg_calls,formatog_d2_p4,333.0,4.132132132132132,1.4870790749854552,1.0,3.0,4.0,5.0,8.0,1376.0
kg_calls,formatog_d3_p1,333.0,1.8708708708708708,0.33584746002906474,1.0,2.0,2.0,2.0,2.0,623.0
kg_calls,formatog_d3_p2,333.0,3.1321321321321323,0.8290402823249472,1.0,3.0,3.0,4.0,4.0,1043.0
kg_calls,formatog_d3_p3,333.0,3.972972972972973,1.1983381524346925,1.0,4.0,4.0,5.0,6.0,1323.0
kg_calls,formatog_d3_p4,333.0,3.990990990990991,1.4797559357666608,1.0,3.0,4.0,5.0,8.0,1329.0
kg_calls,formatog_d4_p1,333.0,1.8858858858858858,0.3184282922420552,1.0,2.0,2.0,2.0,2.0,628.0
kg_calls,formatog_d4_p2,333.0,3.0870870870870872,0.8403858739244673,1.0,3.0,3.0,4.0,4.0,1028.0
kg_calls,formatog_d4_p3,333.0,3.951951951951952,1.2553874638658056,1.0,4.0,4.0,5.0,6.0,1316.0
kg_calls,formatog_d4_p4,333.0,4.045045045045045,1.481130637328221,1.0,3.0,4.0,5.0,8.0,1347.0
agent_calls,formatog_d1_p1,333.0,2.4594594594594597,0.6029613234182282,1.0,2.0,2.0,3.0,4.0,819.0
agent_calls,formatog_d1_p2,333.0,2.5915915915915915,0.6316369450012653,1.0,2.0,3.0,3.0,4.0,863.0
agent_calls,formatog_d1_p3,333.0,2.6336336336336337,0.6288814494160153,1.0,2.0,3.0,3.0,4.0,877.0
agent_calls,formatog_d1_p4,333.0,2.5945945945945947,0.6592033122172274,1.0,2.0,3.0,3.0,4.0,864.0
agent_calls,formatog_d2_p1,333.0,2.5105105105105103,0.6091995864939315,1.0,2.0,2.0,3.0,4.0,836.0
